id,student_id,student_mobility_id,done_date,notes,created_at
ef1643ff-b2a8-49ee-af04-3689d94242e5,0c932874-b8b7-4542-a522-a5cffd9c66a9,b46da8c4-f894-4d5e-b131-4f8aa4a429b9,2026-05-22,,2026-05-22 02:53:40.744782+00
d2edd0e3-0a6b-4ce9-a0bf-386365d65663,0c932874-b8b7-4542-a522-a5cffd9c66a9,36cd05d0-6f77-4cef-b5bc-61a1b60ebe48,2026-05-22,,2026-05-22 02:53:42.319061+00
88b0f5f7-5d2a-4638-90db-0e22fd53bf23,0c932874-b8b7-4542-a522-a5cffd9c66a9,b531e6d0-d7c7-4de9-a454-c07af93098c9,2026-05-22,,2026-05-22 02:53:42.789899+00
054b0bce-2e86-4f03-98da-00aa736d3dbf,0c932874-b8b7-4542-a522-a5cffd9c66a9,b531e6d0-d7c7-4de9-a454-c07af93098c9,2026-05-25,,2026-05-25 17:13:40.631887+00
ecb989cf-7f82-4ddd-9ae2-ab7601ef5fea,0c932874-b8b7-4542-a522-a5cffd9c66a9,71f22fc5-e5e3-4969-b188-53fa44899c8e,2026-05-25,,2026-05-25 17:13:40.765647+00
f266ce9a-ef6d-4afa-8943-db45e6ebde3a,0c932874-b8b7-4542-a522-a5cffd9c66a9,c5827daf-eb2c-41e0-bdd0-ebbc4ffa2ef1,2026-05-25,,2026-05-25 17:13:43.79821+00
73fee62f-0d2f-4885-aaf9-dbf3285a19d3,0c932874-b8b7-4542-a522-a5cffd9c66a9,36cd05d0-6f77-4cef-b5bc-61a1b60ebe48,2026-05-25,,2026-05-25 17:13:44.409773+00
fa455331-ffa0-409a-a9db-b2f04557ce35,0c932874-b8b7-4542-a522-a5cffd9c66a9,5eac02a4-5494-44b0-a9fd-8634b3d46dca,2026-05-25,,2026-05-25 17:13:47.382401+00
a6e01a85-e262-42d2-b6a0-2d50990e1120,0c932874-b8b7-4542-a522-a5cffd9c66a9,fad8abee-915f-4b91-b682-520dda3ac19a,2026-05-25,,2026-05-25 17:13:49.824198+00
d6645f77-ccf0-4f1a-9089-fd698c6a058f,0c932874-b8b7-4542-a522-a5cffd9c66a9,b46da8c4-f894-4d5e-b131-4f8aa4a429b9,2026-05-25,,2026-05-25 17:13:51.074161+00
c7619016-2656-48b3-b5dd-e6a2e079e0b6,0c932874-b8b7-4542-a522-a5cffd9c66a9,5eac02a4-5494-44b0-a9fd-8634b3d46dca,2026-05-26,,2026-05-26 12:00:00.803635+00
0a646d42-b3ea-4a89-9957-510646302faf,0c932874-b8b7-4542-a522-a5cffd9c66a9,fad8abee-915f-4b91-b682-520dda3ac19a,2026-05-26,,2026-05-26 12:00:31.970167+00
71e97c5f-02df-4e29-a057-7fa8c249c70b,0c932874-b8b7-4542-a522-a5cffd9c66a9,36cd05d0-6f77-4cef-b5bc-61a1b60ebe48,2026-05-26,,2026-05-26 12:00:33.390477+00
c155e779-e217-4223-8c19-fe9aca580c06,0c932874-b8b7-4542-a522-a5cffd9c66a9,c5827daf-eb2c-41e0-bdd0-ebbc4ffa2ef1,2026-05-26,,2026-05-26 12:00:33.72192+00
8aa22aa8-4c0b-40ba-a2f9-ce3a334c2c77,0c932874-b8b7-4542-a522-a5cffd9c66a9,b531e6d0-d7c7-4de9-a454-c07af93098c9,2026-05-26,,2026-05-26 12:00:35.241729+00
2579a4e7-5898-4c95-921b-ad7337cc0416,0c932874-b8b7-4542-a522-a5cffd9c66a9,71f22fc5-e5e3-4969-b188-53fa44899c8e,2026-05-26,,2026-05-26 12:00:36.563417+00
ed66b809-45e9-4ee0-a99d-7550f9d8d0d3,0c932874-b8b7-4542-a522-a5cffd9c66a9,b46da8c4-f894-4d5e-b131-4f8aa4a429b9,2026-05-26,,2026-05-26 12:00:39.096295+00
38d282e3-ade2-44ba-bdd4-f142c9d03202,4dca53bc-1217-4019-8969-deb495aebae2,48aeee03-791c-4387-acc4-5b156645a296,2026-05-26,,2026-05-26 18:47:04.449236+00
34656f1b-f83b-4904-aaab-298b71dbb422,4dca53bc-1217-4019-8969-deb495aebae2,086d5a78-0678-464b-81d5-6b3b53b553ec,2026-05-26,,2026-05-26 18:47:06.853054+00
baa4417a-9286-418c-be4e-e4bbb14b8dac,4dca53bc-1217-4019-8969-deb495aebae2,0d311a4f-2753-42df-8ec5-4c741a7b4ce4,2026-05-26,,2026-05-26 18:47:08.866449+00
86ade09a-1dd3-4768-8f29-07f3561278f8,4dca53bc-1217-4019-8969-deb495aebae2,a1c1b022-c029-45ad-9e44-0205679ef77e,2026-05-26,,2026-05-26 18:47:13.291924+00
26b4b84c-4c66-43d6-8d70-86b8c50d2b28,4dca53bc-1217-4019-8969-deb495aebae2,0dd4406c-3de6-4054-9c4b-4987a8f4ed07,2026-05-26,,2026-05-26 18:47:14.460159+00
192e83da-aa77-4bd7-80ca-8fffb5ab09db,4dca53bc-1217-4019-8969-deb495aebae2,0b5938c3-6b7a-496f-b5ec-b8009569d7f4,2026-05-26,,2026-05-26 18:47:15.135959+00
99f4ae3d-0b15-4d11-a728-83f20e0753b5,4dca53bc-1217-4019-8969-deb495aebae2,fc2ea886-07b2-443c-9d32-c98776b4c181,2026-05-26,,2026-05-26 18:47:18.574289+00
bf65597c-d08e-4581-a6af-301300f828fe,4dca53bc-1217-4019-8969-deb495aebae2,0b5938c3-6b7a-496f-b5ec-b8009569d7f4,2026-05-27,,2026-05-27 12:12:34.623414+00
5861341e-2b25-4139-8859-3f863e2cb87c,4dca53bc-1217-4019-8969-deb495aebae2,0dd4406c-3de6-4054-9c4b-4987a8f4ed07,2026-05-27,,2026-05-27 12:15:15.057998+00
