id,block_id,student_id,week_number,message,created_at,updated_at
8385f38e-ecec-4bec-ae41-754c39e31b2e,c4dd712b-0269-48e8-bdaa-dc8fe463860f,5708401f-8de5-4afc-bd85-47873cae849c,4,Falhar na última série dos auxiliares,2026-05-18 15:24:37.747799+00,2026-05-18 15:24:37.747799+00
31109927-2b18-472b-87f8-17cca60f8b94,1df5ce89-251c-4140-a6a6-d4c746c67cd4,73057fac-df99-47e3-9a98-73655103e9bb,5,fez apenas em 1 dia os main lifts,2026-05-27 15:22:26.592176+00,2026-05-27 15:22:26.592176+00
5e54f965-2a31-458a-964d-1fb94b28269b,1df5ce89-251c-4140-a6a6-d4c746c67cd4,73057fac-df99-47e3-9a98-73655103e9bb,6,não anotou as cargas,2026-06-01 13:31:19.102684+00,2026-06-01 13:31:19.102684+00
