id,student_id,weight_kg,measured_at,notes,created_at
242b0dcb-367c-4a69-8be1-38b228d8eb49,38c6bc8b-4f3f-46d3-8df7-67088512758f,55.7,2026-06-06,,2026-06-07 13:51:48.614784+00
bb44d777-6afb-4963-9dd4-e6c70a1bbe9e,9bdfcb9e-24c4-48b9-bcff-bf79b5fe3271,84.5,2026-06-10,,2026-06-11 00:07:05.730098+00
