id,student_id,block_id,week_number,created_at
7829fd4e-12a5-4ca7-9332-9f8c5061a9dc,dc0151e3-eb4d-4ae1-a914-91cfa2e734cc,d1c0a920-848e-49c5-86c8-d8d596977b44,1,2026-05-24 01:44:31.209452+00
47e1c047-4605-425e-a18e-596decd3c116,75061457-1a89-462a-b288-a63ce1bf59e9,42693e9d-6544-4eec-a3e1-8248965a2a8f,2,2026-05-24 13:00:45.769482+00
a058b660-1521-4d62-a402-1e416a03b3f9,e171833f-e8d0-4b2c-884c-fda495f1019a,8cf0462f-9a2c-458a-a494-4ad5adb0aefe,7,2026-05-24 21:52:45.494319+00
27fa01d2-858a-497c-a036-e43e42a08a5c,705a0b92-5cb4-44eb-8b42-0785be601413,7b2a592b-b46b-4e01-a39b-2a7485c99662,1,2026-05-25 02:45:12.297468+00
939f8037-fa9d-4732-ab18-0996b04d9952,0a0bb310-eff2-4351-a82a-fd2fe286d234,03fca170-b09e-469c-9a3d-a3e59bf9365f,5,2026-05-25 21:14:39.871961+00
617f8ce1-6dc2-45ce-9584-23f8883ffe2b,73057fac-df99-47e3-9a98-73655103e9bb,1df5ce89-251c-4140-a6a6-d4c746c67cd4,5,2026-05-26 17:22:29.040022+00
e85de840-72c1-4ea3-b03b-abb924a89aec,06f04d52-e719-40d3-8ca6-6d483af9f097,d7175c87-305b-4925-8372-22740ed71f0f,1,2026-05-27 21:16:45.549842+00
b239c79e-6018-46ff-b7ab-7344107e20ad,6238dd06-e129-4964-9bea-c462e5f36c15,12712ce8-ef29-43b3-abd9-81f80585ce8e,1,2026-05-30 19:43:48.06071+00
a4b79fbe-678c-4af4-9c94-f98461013fff,705a0b92-5cb4-44eb-8b42-0785be601413,7b2a592b-b46b-4e01-a39b-2a7485c99662,2,2026-05-30 20:16:02.357371+00
d3a36f17-6621-4c6c-a26a-beb89b901c2b,4dca53bc-1217-4019-8969-deb495aebae2,8205b7bf-cbb7-48fd-8157-2ffa201315ed,1,2026-05-30 21:38:23.276548+00
e1f04806-df0e-4b2b-b71f-67fd7c0a2a6e,dc0151e3-eb4d-4ae1-a914-91cfa2e734cc,d1c0a920-848e-49c5-86c8-d8d596977b44,2,2026-05-31 04:03:53.907301+00
d6204991-539c-4d26-a8ed-c51b9f0a4585,0a0bb310-eff2-4351-a82a-fd2fe286d234,03fca170-b09e-469c-9a3d-a3e59bf9365f,6,2026-06-01 03:12:17.284759+00
3b03289f-aea8-45a1-a25c-531e25717251,16c808ed-154a-4685-a2e4-844038f7d76c,54d16b3e-1438-4f71-b9ff-e3fdbbec3c23,3,2026-06-01 09:09:19.938928+00
7b109b70-54d4-40fd-9a46-1fd53f448b30,e171833f-e8d0-4b2c-884c-fda495f1019a,8cf0462f-9a2c-458a-a494-4ad5adb0aefe,8,2026-06-01 10:12:34.230918+00
25cf2dba-4117-4eb1-a907-5704d5d1686e,467777cc-e79c-4ed4-ac53-b9f98978c205,eced6552-ec9e-46ac-b018-b27893a35304,2,2026-06-01 11:52:55.078388+00
918bced2-fb04-48a1-89b7-5917496ee9f6,467777cc-e79c-4ed4-ac53-b9f98978c205,eced6552-ec9e-46ac-b018-b27893a35304,1,2026-06-01 11:53:47.65375+00
b5e5ae50-96ac-452b-9a87-5f12f149dc4e,73057fac-df99-47e3-9a98-73655103e9bb,1df5ce89-251c-4140-a6a6-d4c746c67cd4,6,2026-06-01 13:57:35.859524+00
4bae85fd-980a-4938-9754-d6ebc2243891,75061457-1a89-462a-b288-a63ce1bf59e9,42693e9d-6544-4eec-a3e1-8248965a2a8f,3,2026-06-01 22:57:35.715796+00
351fc4c0-0e8d-413a-8c6c-5030b55846e8,47f1a5f7-27e1-4943-9abb-b6065cf68522,7f3f53b9-4022-4860-b494-ddd00c07ccaf,1,2026-06-03 19:04:13.37995+00
6b5be1ff-958f-4543-9289-d1e8dae28cbc,75061457-1a89-462a-b288-a63ce1bf59e9,42693e9d-6544-4eec-a3e1-8248965a2a8f,4,2026-06-05 20:51:34.155207+00
88a3c1c4-911d-4a00-abf9-248df5cca438,4dca53bc-1217-4019-8969-deb495aebae2,8205b7bf-cbb7-48fd-8157-2ffa201315ed,2,2026-06-06 17:55:37.744509+00
eccf9bff-ea2f-4b1e-88aa-57752610e848,47f87f76-995f-40df-810e-0140ae78b28e,f30ca1a8-e164-4cd5-ac2d-55604eeb6402,1,2026-06-06 20:08:36.936501+00
61308ad7-f4ab-42d3-a624-a4d9db15a7c0,e171833f-e8d0-4b2c-884c-fda495f1019a,33da71a7-9bae-4a62-b7db-d7db63ac7b72,1,2026-06-07 16:56:37.9176+00
2c02984d-420b-43d6-96c1-c4f730ef9d0c,6238dd06-e129-4964-9bea-c462e5f36c15,12712ce8-ef29-43b3-abd9-81f80585ce8e,2,2026-06-07 21:47:50.496349+00
437892f9-b946-46b2-bf96-a3670b7e4c80,16c808ed-154a-4685-a2e4-844038f7d76c,54d16b3e-1438-4f71-b9ff-e3fdbbec3c23,4,2026-06-08 02:56:16.969383+00
a05da22d-a1d7-45a8-9115-56be90c013f8,467777cc-e79c-4ed4-ac53-b9f98978c205,eced6552-ec9e-46ac-b018-b27893a35304,3,2026-06-08 12:54:35.171237+00
97aec03d-62c1-47e7-ae93-9fb1dde1bf2c,705a0b92-5cb4-44eb-8b42-0785be601413,7b2a592b-b46b-4e01-a39b-2a7485c99662,3,2026-06-08 15:37:00.061+00
6cb24e03-ab1e-4a96-a29c-dcef2a666528,0a0bb310-eff2-4351-a82a-fd2fe286d234,03fca170-b09e-469c-9a3d-a3e59bf9365f,7,2026-06-08 18:56:48.535187+00
45399428-ff36-4eea-a5d6-cf6523b61e3a,b7570361-db11-407f-9660-4d6c9bc2d321,76cab118-b736-47d4-bc03-0ac8090813ee,1,2026-06-08 19:47:48.991697+00
5cfde527-552b-4b18-a563-b53e3df70625,47f1a5f7-27e1-4943-9abb-b6065cf68522,7f3f53b9-4022-4860-b494-ddd00c07ccaf,2,2026-06-08 22:44:44.621976+00
cba25ccf-a237-468e-9b65-5d57746a4f07,73057fac-df99-47e3-9a98-73655103e9bb,1df5ce89-251c-4140-a6a6-d4c746c67cd4,7,2026-06-08 22:51:51.42429+00
