id,name,target_amount,current_amount,color,icon,deadline,auto_percentage,auto_scope,created_at,updated_at
0017dc5a-1d3a-41bb-a6b9-101640f189bc,Reserva Pessoal,24000,0,#1096b7,PiggyBank,,,,2026-04-23 14:12:01.716558+00,2026-04-23 14:12:17.219259+00
3b3024a7-c5ab-44ec-a0f1-f9eae9aff296,Reserva da Empresa,24000,0,#10b73a,PiggyBank,,,,2026-04-23 14:13:31.928863+00,2026-04-23 14:13:31.928863+00
